,hour,power,Day,School_name,Lat,Lon
244,5,41.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
245,6,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
246,7,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
247,8,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
248,9,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
249,10,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
250,11,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
251,12,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
252,13,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
253,14,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
254,15,0,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
255,16,29.12,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
256,17,103.06,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
257,18,106.8,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
258,19,106.8,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
259,20,106.8,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
260,21,106.8,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
261,22,88.88,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
262,23,87.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
263,24,87.6,Thu,ALBERTA SMITH ELEM,37.3957294,-77.64216192
264,1,87.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
265,2,84.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
266,3,57.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
267,4,57.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
268,5,41.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
269,6,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
270,7,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
271,8,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
272,9,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
273,10,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
274,11,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
275,12,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
276,13,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
277,14,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
278,15,0,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
279,16,29.12,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
280,17,103.06,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
281,18,106.8,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
282,19,106.8,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
283,20,106.8,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
284,21,106.8,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
285,22,88.88,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
286,23,87.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
287,24,87.6,Fri,ALBERTA SMITH ELEM,37.3957294,-77.64216192
288,1,87.6,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
289,2,84.6,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
290,3,57.6,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
291,4,57.6,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
292,5,41.6,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
293,6,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
294,7,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
295,8,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
296,9,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
297,10,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
298,11,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
299,12,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
300,13,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
301,14,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
302,15,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
303,16,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
304,17,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
305,18,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
306,19,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
307,20,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
308,21,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
309,22,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
310,23,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
311,24,0,Sat,ALBERTA SMITH ELEM,37.3957294,-77.64216192
312,1,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
313,2,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
314,3,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
315,4,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
316,5,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
317,6,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
318,7,0,Sun,ALBERTA SMITH ELEM,37.3957294,-77.64216192
